"","T_BIOME","CR","EN","VU","LC","Total","RLIE"
"1","Total",61,68,11,325,465,0.797849462365591
"2","Succulent Karoo",3,1,0,60,64,0.953125
"3","Savanna",3,15,1,75,94,0.874468085106383
"4","Nama-Karoo",0,0,0,13,13,1
"5","Indian Ocean Coastal Belt",0,5,1,0,6,0.433333333333333
"6","Grassland",4,14,6,49,73,0.808219178082192
"7","Fynbos",40,28,0,58,126,0.612698412698413
"8","Forests",0,0,1,11,12,0.966666666666667
"9","Desert",3,0,0,12,15,0.84
"10","Azonal Vegetation",2,3,0,13,18,0.811111111111111
"11","Albany Thicket",6,2,2,34,44,0.845454545454545
