"","RLE_EPL","Albany Thicket","Azonal Vegetation","Desert","Forests","Fynbos","Grassland","Nama-Karoo","Savanna","Succulent Karoo","Indian Ocean Coastal Belt","Total"
"1","LC_WP",7,5,6,8,31,12,1,27,12,0,109
"2","LC_MP",10,2,0,1,4,3,3,20,8,0,51
"3","VU_WP",0,0,0,1,0,0,0,0,0,0,1
"4","VU_MP",1,0,0,0,0,0,0,0,0,0,1
"5","LC_PP",13,6,3,0,18,22,5,15,15,0,97
"6","LC_NP",5,0,3,0,6,12,4,13,22,0,65
"7","VU_PP",0,0,0,0,0,2,0,1,0,1,4
"8","VU_NP",0,0,0,0,0,4,0,0,0,0,4
"9","EN_WP",0,0,0,0,2,0,0,0,1,0,3
"10","EN_MP",0,0,0,0,5,0,0,1,0,2,8
"11","CR_WP",2,0,1,0,5,0,0,0,0,0,8
"12","CR_MP",0,0,0,0,5,0,0,1,1,0,7
"13","EN_PP",2,1,0,0,13,10,0,11,1,1,39
"14","EN_NP",0,2,0,0,7,4,0,3,0,2,18
"15","CR_PP",0,1,0,0,18,3,0,1,0,0,23
"16","CR_NP",4,1,2,0,12,1,0,1,4,0,25
"17","Total",44,18,15,10,126,73,13,94,64,6,463
